być na ukończeniu,"to be near, nearing completion"
być nieobecnym w szkole,to be absent from school
być pochłoniętym pracą,to be absorbed in work
być posłusznym,obey
być stosownym,appertain
być sędzią,arbitrate
być w obfitości,abound
być w swoim żywiole,to be in one's element
być w zgodzie,accord
być zaskoczonym,aback
były,quondam
bzik,kink
bzykać,"buzz, hiss"
bób,broad bean
bój,combat
ból,"ache, anguish"
ból (fizyczny),pain
ból brzucha,"stomach, belly ache"
ból gardła,sore throat
ból głowy,headache
ból zęba,toothache
będący w stanie coś zrobić,able
bład,mistake
błagalny,"imploring, appealing"
bławatek,knapweed
błazen,jester
błazeński,knock-about
błekitny,azure
błogosławieństwo,blessing
błogosławiony,blessed
błona,membrane
błona dziewicza,hymen
błona śluzowa,mucous membrane
błonica,diphtheria
błotnik,mudguard
błoto,marsh
błyskać latarką,to flash one's torch
błysnąć,flash
błyszczeć,glitter
błyszczący,shiny
błąd,mistake
błędny ognik,jack-o-lantern
błędny rycerz,knight-errant
błękit,azure
cacko,knick-knack
cal,inch
capnąć,nab
całka,integral
całkiem,altogether
całkowicie,"absolutely, altogether, quite"
całkowity,"entire, absolute, all-out"
całoroczny,yearly
całować,kiss
całus,kiss
cały,all
cebrzyk,kit
cebula,onion
cebulka,bulb
cedzak,"colander, strainer"
cegielnia,brickyard
cegła,brick
cekaem,heavy machine gun
cekin,sequin
cel,"aim, objective"
celować,aim
celtycki,Celtic
celtycki,Keltic
celuloid,xylonite
cena,price
cennik,price-list
cent,cent
centar,quintal
centrala,head-office
ceratka,jaconet
cerować,darn
cewka,bobbin
chaber,knapweed
chamsyn,khamsin
chan,khan
chaos,chaos
chata,cabin
chcieć,want
chciwość,avidity
chciwy,avid
chemigrafia,zincography
chinina,quinine
chinowiec,quiniquina
chleb,bread
chmura,cloud
chmura deszczowa,nimbus
chociaż,"although, albeit"
chodak,clog
chodnik,pavement
chodzić,go
cholera***,damn***
choroba,illness
choroba powietrzna,air-sickness
chory,"ill, afflicted"
chować,put away
choć,although
chropowatość,asperity
chrzciny,christening
chrząszcz,june bug
chudy,skinny
chuligan,apache
chustka,handkerchief
chustka (na głowę),kerchief
chwila,moment
chwilka,jiffy
chwilę,awhile
chyba,I suppose
chytrość,artfulness
chytry,artful
chór,quire
chętnie,gladly
chłeb,bread
chłodzony powietrzem,air-cooled
chłop,"farmer, kern(e)"
chłopak,youngster
chłopiec,"boy, nipper"
chłód,cold
ci,these
ciamajda,nincompoop
ciamajda,ninny
ciasny,narrow
ciasto,cake
ciało,body
cichy,"silent, quiescent, noiseless"
ciekawy,quaint
cielęcina,veal
ciemność,obscurity
ciemny,"dark, obscure"
cierpieć męczarnie,agonise
cierpieć męczarnie,agonize
cierpki,"acerbic, acrimonious"
cierpkość,"acerbity, acridity, acrimony"
cieężarówka,lorry
cień,shadow
ciotka,aunt
cis,yew
cisza,quiet
ciągle,always
ciąża,pregnancy
ciętość,keenness
cięty,keen
ciężarówka,truck
ciężki,"heavy, arduous"
co,what
co noc,nightly
co o tym sądzisz?,what do you think (of that)?
co prawda,admittedly
cokolwiek,"anything, aught"
coroczny,"annual, yearly"
coś,"something, anything, aught"
cuchnący,noisome
cudowny,adorable
cudzoziemski,alien
cudzołożnica,adultress
cudzołożnik,adulterer
cudzołóstwo,adultery
cudzysłów,quotation-marks
cukier,sugar
cukierek,sweet
cukiernia,pastry shop
cybet,zibet
cyfra,numeral
cyfrowy,numeral
cyfrowy,numerical
cykl,cycle
cynia,zinnia
cynk,zink
cynkografia,zincography
cypel,naze
cyrkon,zircon
cyrkon,zirconium
cytat,quotation
cytra,zither
cytryna,lemon
czara,jorum
czarna emalia,niello
czarny jak smoła,jet-black
czas,time
czasami,at times
