isiJalimane,german language
eJalimani,Germany
eDukathole,Germiston
"ukufika, ukuthatha",get
ukusukuma,get up
isipho,gift
"intombazane, intombi",girl
"ukuazisa, ukuethula",give
ukubika,give an account
ukubika,give an account of
ingilazi,glass
izibuko,glasses
"ukuhamba, ukuya",go
ukuhamba,go away
ukubuya,go back
"ngena, ukungena",go in
qonda,go towards
imbuzi,goat
uNkulunkulu,God
igalofu,golf
"-hle, ngisaphila",good
sawubona,good afternoon
sawubona,good day
sawubona,good evening
impilontle,good health
sawubona,good morning
lala(ni) kahle,good night
hamba kahle,goodbye
ihansi,goose
uhulumeni,government
"ililokwe, ilokwe",gown
umkhulu,grandfather
ugogo,grandmother
nokubingelela,greeting: and ~
imfluwenza,grip
ogayiwe,ground
umuntu osekhulile,grown up
umuntu osekhulile,grown-up
igaranti,guarantee
"ilisiko, isiko",habit
ukuejwayele,habit of: be in the ~
"ulunwele, unwele",hair
ingxenye yesibili,half
isisebenzi,hand
-bukekayo,handsome
ukubamba,hang on to
ukubamba,hang onto
ukuenzeka,happen
-nzima,hard
ukuethemba,have confidence in
ukusuthi,have enough
ukuethemba,have faith
ukuethemba,have faith in
ukufanele,have to
u-,he
ikhanda,head
inkomo,head of cattle
ukupholisa,heal
inhliziyo,heart
ilizulu,heaven
sawubona,hello
ukusiza,help
lapha,here
igquma,hill
ukuqasha,hire
sakhe,his
ukungqongqoza,hit
ingulube,hog
ukubamba,hold
iholide,holiday
umHholandi,Hollander
ikhaya,home
ukuethemba,hope
ihhashi,horse
isibhedlela,hospital
isibhedlela,hostipal
-shisayo,hot
kushisa,hot: is ~
ihhotela,hotel
ihora,hour
amahora,hours
indlu,house
izindlu,houses
kanjani,how
"Unjani?, Wena unjani?",how are you?
ninjani?,How are you?
ninjani?,how do you do?
-ngaki,how many
-ngaki,how much
kubiza malini?,How much does it cost?
kumalini ukuya e..?,How much is the fare?
nokho,however
ukulambile,hungry: be ~
ukubuhlungu,hurt
"umkhwenyana, umyeni",husband
impisi,hyaena
ngi-,I
"angiqondi, angizwa",I don't understand
ngifuna ukuthenga,I would like to buy..
uayiskhrimu,ice
u-ayisikhilimu,ice cream
igama,iligama)
-gulayo,ill
ngizokuyithenga,I'll buy it
hyena,impisi
-phakeme,important
eginisweni,in fact
phambi kwa-,in front of
ekuseni,in the morning
kanjani,in what way
-nzima,inconvenient
eginisweni,indeed
ukukhombisa,indicate
-shibile,inexpensive
"ingane, umntwana",infant
imfluwenza,influenza
ukujova,inject
umjovo,injection
uthisha,instructor
inshuwarensi,insurance
injongo,intention
ummeli,intercessor
irente,interest
umngcwabo,interment
ukuazisa,introduce
"eginisweni, isimemo",invitation
ayina,iron
ku-,it
akunandaba,it doesn't matter
ibhantshi,jacket
ujamu,jam
uJanuwari,january
umsebenzi,job
eGoli,Johannesburg
inyuziphepha,journal
ijusi,juice
uJulayi,July
uJuni,June
"kuphela, nje",just
ukugcina,keep
ukuqhubeka,keep on
isikhiye,key
ukubulala,kill
ikhilogramu,kilo
ikhilomitha,kilometre
umhlobo,kind
umusa,kindness
inkosi,king
ikhishi,kitchen
ummese,knife
ukungqongqoza,knock
ukuazi,know
uyakwazi,know: do you ~
ngomthetho wamajuda,kosher
isisebenzi,laborer
umfana,lad
umfana,laddie
"inkosikasi, uma",lady
eMnambithi,ladysmith
ichibi,lake
umkhonto,lance
"ulimi, ululimi",language
-khulu,large
"intombazane, intombi",lass
ukuqhubeka,last
-phuzileyo,late
ummeli,lawyer
ukuthatha,lay hold of
"inkosi, umakhonya",leader
ukuhamba,leave
"-bunxele, ubunxele",left
ngakwesobunxele,left: on the ~
umlenze,leg
ukuboleka,lend
ingwe,leopard
incwadi,letter
uletisi,lettuce
nga,lie
isibane,light
"kanjani, ukuthanda",like
kanjalo,like that
futhi,likewise
ibhubesi,lion
"udebe, uludebe",lip
izindebe,lips
ukubulala,liquidate
ilisti,list
