English,Other
natural forest,prirodna šuma
natural disasters,prirodne katastrofe
natural waters,prirodne vode
sights of nature,prirodne znamenitosti
natural antioxidants,prirodni antioksidansi
natural anticoagulants,prirodni inhibitori zgrušavanja
natural language,prirodni jezik
natural preservatives,prirodni konzervansi
natural gas,"prirodni plin, zemni plin"
natural increase,prirodni prirast
artificial radionuclides,"prirodni radionuklidi, umjetni radionuklidi"
natural word order,prirodni redoslijed rijeci
nature reserve,prirodni rezervat
natural grassland,prirodni travnjak
natural watercourse,prirodni vodotok
natural factors of stress,prirodni čimbenici stresa
innate,"prirodni, urođeni"
natural active components,prirodno aktivne tvari
natural join,prirodno spajanje (relacijska algebra)
natural history,prirodopis
naturalists,prirodoslovci
inborn,"prirođen, urođen"
intrinsic reactivity,prirođena reaktivnost
congenital heart disease,prirođene srčane greške
reference library,priručna knjižnica
cache,"priručna memorija, skrivena memorija, skrovište, tajna memorija, tajno mjesto"
manuals,priručnici
textbooks,"priručnici, udžbenika, udžbenike"
reference manual,priručnik
repertory,"priručnik, repertoar, repertoarna, skladište, spremište, zbornik"
handbooks,priručnike
rational,"priseban, racionalan, racionalni, razborit, razuman, svrsishodan, utvrđen"
swore,priseći
sworn,priseći
coercion,prisila
psychiatric confinement,prisilna hospitalizacija u psihijatrijsku bolnicu
enforced migration,prisilna migracija
forced migration,prisilne migracije
forced disappearance,prisilni nestanak
forced release,prisilno raskidanje (veze)
rail guidance,prisilno vođenje vozila
eavesdropping,prisluškivanje
overhear,"prisluškivati, čuti krišom"
as thick as thieves,prisni prijatelji
prisonerofwar,prisoner-of-war ; ratni zarobljenik
berthing,"pristajanje, vezivanje"
befits,pristaje
henchman,pristalica
mooring,"pristan, privezište, sidrište, vezivanje broda"
heliport,pristanište za helikopter
consent to,pristati
reformer,"pristaše reforme, reformator, reformatora"
modest,"pristojan, skroman, skromni, skromnost, čedan"
keelage,pristojba koju brod plaća za sidrenje
sugar levy,pristojba na šećer
charge having equivalent effect,pristojba s jednakim učinkom
road transport tariff,pristojba za cestovni prijevoz
license fee,"pristojba za dozvolu, pristojba za licencu"
standage,pristojba za parkiranje
support tariff,pristojba za potporu
entrance fee,pristojba za prijavu
air freight rate,pristojba za zračni prijevoz
charges,pristojbe
dues,pristojbe
charges for use of infrastructure,pristojbe za uporabu infrastrukture
levies,"pristojbe, pristojbu"
tariff zone,pristojbena zona
decorum,pristojnost
decency,"pristojnost, uljudnost"
acces,pristup
file access,pristup datotecifile and terminal access method
access to documents,pristup dokumentima
contribution approach,pristup doprinosa
fund approach,pristup fonda
access to information,pristup informacijama
key access,"pristup ključem, pronalaženje ključem određenog mjesta pohrane"
fixed mobile convergence approach,pristup konvergenciji nepokretnih i pokretnih mrež
access on a reciprocal basis,pristup na temelju uzajamnosti
access to award procedures,pristup natječajima o javnim nabavama
access to contract award procedures,pristup natječajima o javnim nabavama
sequence access,pristup po red
formula approach,pristup preko formule
passband access,pristup propusnim pojasom (gdje su tokovi usluga m
radio access,"pristup putem radioveze, radio pristup"
buffered access,pristup s međupohranom
access to the courts,pristup sudovima
multipoint access,"pristup točka-više točaka, višespojni pristup"
access to the market,pristup tržištu
market access,pristup tržištu
admission to occupation,pristup zanimanju
access to employment,pristup zapošljavanju
access to a profession,pristup zvanju
broadband access,"pristup širokopojasnoj mreži, širokopojasni pristup"
ingress,"pristup, ulaz, ulazni okvir"
approaches,pristupa
admission to examinations,pristupanje ispitu
joins,pristupi
to enter into negotiations,"pristupiti pregovorima, započeti pregovore"
access rate,pristupna brzina
access unit,pristupna jedinica
access card,"pristupna kartica, pristupna kartica (npr. za pristup računalu)"
access line,"pristupna linija, pristupni vod"
access network,pristupna mreža
baseband access network,pristupna mreža s prijenosom u osnovnom pojasu
access device,"pristupna naprava, pristupni uređaj, sredstvo pristupa"
access arm,pristupna poluga
access station,"pristupna postaja, pristupna stan, pristupna stanja"
access path,"pristupna staza, pristupni put"
link service access point,pristupna točka podatkovne razine
subnetwork access point,pristupna točka podmreže
transport service access point,pristupna točka transportne usluge
network service access point,pristupna točka uslugama mreže (INTERNET)
service access point,"pristupna točka, servisna pristupna točka (točka koja povezuje sloj"
access code,"pristupna šifra, pristupni kod"
access keys,pristupne tipke
access channel,pristupni kanal
access server,pristupni poslužnik
handover access burst,pristupni prasak prekapčanja (u pokretnim komunika
access system,pristupni sustav
entry fee,"pristupnina, ulazna naknada"
access delay,pristupno kašnjenje
channel access delay,pristupno kašnjenje kanala
attend the match,prisustvovati utakmici
immanent,"prisutan, sadržan u čemu, stalan"
plagiarism,prisvajanje ; Plagiarism ; plagijat
trespassing,prisvajanje tuđeg
hidden,"pritajeni, skriven"
cam spindle,pritežno vratilo
afflux,"priticanje, pritjecanje"
future valuation strain,pritisak budućeg vrednovanja
mouse click,pritisak miša
strain on profit,pritisak na dobit
new business strain,pritisak novog posla
death strain,pritisak smrti
pressures,pritisci
oppress,"pritiskivati, tiranizirati, tištati, tlačiti, ugnjetavati"
paper weight,pritiskivač papira
click on,pritisnite
indraft,pritjecanje
in so doing,pritom
tributary unit,pritočna jedinica (u mreži SDH)
detention before trial,pritvor
pretrial detention,pritvor
temporary arrest,pritvor
detained,"pritvoren, uhapšen, zadržan zbog ispitivanja"
prisoner in custody,pritvorenik
hold in custody,pritvoriti
detain,"pritvoriti, spriječiti, zadržati"
private atm address,private ATM address ; vlastita ATM adresa
private ecu,private ECU ; privatni ECU
private network network interface,private network - network interface ; privatno sučelje mreža - mreža
private networknetwork interface,private network-network interface ; sučelje medu čvorištima privatne mreže
privatesector liquidity,private-sector liquidity ; likvidnost privatnoga sektora
privatization,privatizacija
privatisation,"privatizacije, privatizacijskih, privatizaciju"
centrex private network,"privatna ""centreks"" mreža"
private bank,privatna banka
private property,privatna imovina
private institution,privatna institucija
private wire,"privatna linija, vlastita linija, vlastiti vod"
intranet,privatna mreža temeljena na tehnologiji Internet ; Intranet ; Intranet
private aid,privatna pomoć
private investment,"privatna ulaganja, privatno ulaganje"
accredited private college,privatna visoka škola s pravom javnosti
private forest,privatna šuma
private stock,privatne zalihe
private fund,privatni fond
private and public undertakings,privatni i javni poduzetnici
private media,privatni mediji
private numbering plan,"privatni plan numeriranja, vlastiti plan obrojčavanja"
private sector,privatni sektor
on site paging system,privatni sustav jednosmjernog poziva
private virtual circuit,"privatni virtualni krug, vlastiti virtualni krug"
private good,privatno dobro
private medical treatment,privatno liječenje
private business,privatno poduzeće
private law,privatno pravo
private owned vehicle,privatno vozilo
private education,privatno školstvo
privately,"privatno, privatnom"
tie up,"privez, vezati"
tie down,privezati
dock dues,privezne takse
mooring rope,privezni konop
virtual circuit,"prividna linija, virtualni kanal, virtualni krug"
virtual memory,"prividna memorija, virtualna memorija"
virtual network,"prividna mreža, virtualna mreža"
snobbery,"prividna otmjenost, snobizam"
virtual reality,"prividna stvarnost, virtualna stvarnost ; Virtual reality ; Virtualna realnost"
virtual connection,"prividna veza, virtualna komunikacija, virtualna veza"
virtual call,"prividna veza, virtualni poziv"
virtual channel,"prividni kanal, virtualni kanal"
apparent volume of distribution,"prividni obujam raspodjele, prividni volumen raspodjele"
virtual route,"prividni smjer, virtualni smjer"
virtual machine,"prividni stroj, virtualni stroj"
pseudonode,"prividni čvor, pseudočvor"
pseudorandom interleaver,"prividnoslučajno prepletalo, pseudoslučajno prepletalo"
pseudonoise sequence,"prividnošumni slijed, pseudošumni niz znakova"
adaption,privikavanje
pendants,privjesci
appetizing,"privlačan, ukusan"
engaging,"privlačan, zanimljiv"
glamorous,"privlačan, čaroban"
attracting,privlače
attracts,privlači
attractibility,privlačnost
economy and finances,privreda i financije
economic organization,privredna organizacija
economic offence,privredni prijestup
temporal,"privremen, temporalne, vremenski, zemaljski"
provisory,"privremen, uvjetni"
temporary database,privremena baza podataka
temporary file,privremena datoteka
provisional twelfth,privremena dvanaestina
suspension of customs duties,privremena obustava carinskih pristojbi
suspension of payments,privremena obustava plaćanja
hoarding,privremena ograda
temporary observation post,privremena osmatračnica
temporary initial selection,privremena početna selekcija
temporary presence,privremena prisutnost
temporary table,privremena tablica (relacijske baze podataka)
temporary mobile subscriber identity,privremeni identitet pokretnog (posjetničkog) pret
secondment,privremeni premještaj zaposlenika
contribution holiday,privremeni prestanak plaćanja doprinosa
temporary work,privremeni rad
interim agreement,privremeni sporazum
temporary entry,privremeni ulazak
temporary admission,privremeni uvoz
temporarily,privremeno
temporary movement of natural persons,privremeno kretanje fizičkih osoba
temporary layoff,privremeno otpuštanje radnika
temporarily interrupted,privremeno prekinut
interim local management interface,privremeno sučelje za lokalno upravljanje
earned,"privređen, privređivalo, zarađen"
ground floor,prizemlje
parterre,prizemlje
court of appeal,prizivni sud
appellate court,"prizivni sud, žalbeni sud"
prism,prizma
recognition of the state,priznanje države
espouse,"priznati, udavati se, ženiti se"
recognition of diplomas,priznavanje istovrijednosti diploma
recognition of studies,priznavanje istovrijednosti studija
recognition of vocational training qualifications,priznavanje kvalifikacija u strukovnoj izobrazbi
converse,"pričati, suprotan stav"
stories,priče
tales,priče
narratives from life,priče iz života
past service reserve,pričuva minulog staža
unearned premium reserve,pričuva prijenosnih premija
service reserve,pričuva staža
cell rate margin,pričuva učestalosti ćelija
mismatching reserve,pričuva za neusklađenost
bonus reserve,pričuva za udio u dobiti
backup copy,"pričuvna preslika, sigurnosna kopija"
reserved word,"pričuvna riječ, riječ programskog jezika rezervirana za posebna na"
reserved character,"pričuvna znamenka, znak s posebnim značenjem"
standby reference clock,"pričuvni generator referentnog takta, pričuvni glavni generator takta"
standby master clock,pričuvni glavni generator takta
reservation mode,"pričuvni način, rezervacijski mod"
spare receptors,pričuvni receptori
reserve army,pričuvni sastav
clamp,"pričvrstiti alat, spajati, spojnica, spona, uklještenje"
screwable,pričvrstiti vijkom
fasten,"pričvrstiti, svezati"
fixing on cards or boards,pričvršćivanje na kartone ili daske
covet,"priželjkivati, željeti, žuditi za nečim"
despite,"prkos, unatoč, uprkos, usprkos, zloba"
smutty,"prljav, čađav"
grime,"prljavština, čađ"
connect when free,prm spojiti po oslobađanju (naredba)
pros and cons,pro i kontra
proant,proANT ; proANP
trail,"proba, putanja, puzati se, staza, trag, vijugati se, vući, vući se"
probabilistic risk analyses,probabilistička analiza rizika
probabilistic methods,probabilističke metode
probability density function pctf,probability density function (pctf) ; funkcija gustoće vjerojatnosti
digestibility,probavljivost
digestive,"probavni, probavnog"
pierce,"probijati, probosti, probušiti, prodrijeti, proviriti, provrtjeti"
infiltrate,"probijati, prodirati, prodrijeti, prokapavati, promočiti"
probiotic,probiotik
screening test,probir
expediency,probitačnost
break through,probiti
permeate,"probiti se, prodrijeti, širiti se"
existence problem,problem egzistencije
boundary condition problem,problem graničnih uvjeta
eigenvalue problem,problem svojstvenih vrijednosti
bottleneck problem,problem uskog grla
problem,"problem, problemom, problemu, zamršeno pitanje"
problematic,"problematičan, sporan, sumnjiv"
problem behaviour,problematično ponašanje
scheduling problems,problemi rasporeda
pilot plant,probna oprema
trial run,"probna vožnja, probni rad"
prestandard,probne norme
probationary,probni
proof sheet,probni otisak
rehearsing presentation,probni pokaz prezentacije
trial operation,probni rad
penetration forces,probodne sile
penetration,"probojnost, prodiranje, pronicljivost, propusnost, ulazak u zonu napada"
gore,"probosti, usirena krv"
procedural knowledge,proceduralno znanje
procedures laid down in this article,procedures laid down in this Article ; postupci utvrđeni ovim člankom
production processes,proces proizvodnje
moving average process,proces promjenljivog prosjeka
layer entity,proces razine
packet assembler and disassembler,proces sastavljanja i rastavljanja paketa
process of transition and reform,proces tranzicije i reforme
engine process,proces u motoru
familiarization,proces upoznavanja
valuation process,proces vrednovanja
processing procedures,procesi obrade
risk processes,procesi rizika
processes in wood,procesi u drvu
welding processes,procesi zavarivanja titana
processed foods,procesirana hrana
process metallurgy,procesna metalurgija
processing parameters,procesni parametri
processor,procesor
d,process R&D ; R&D procesa
process r,process R&D ; R&D procesa
processor cpu,"processor (CPU) ; obradnik, procesor"
processortoprocessor link,"processor-to-processor link ; spoj obradnika s obradnikom, veza procesora s procesorom"
risk stratification,procijena rizika
judge,"procijeniti, procjenu, prosuditi, sudac, suditi"
valued,"procijeniti, utvrđivati vrijednosti"
deemed,"procijenjen, procijenjeno, smatran"
appraisal value,procijenjena vrijednost
bulk transfer,"procijenjeni prijenos, skupni prijenos"
estimated time of arrival,procijenjeno vrijeme dolaska
eta,procijenjeno vrijeme dolaska
estimated time of completion,"procijenjeno vrijeme dovršenja, procijenjeno vrijeme izvršenja"
estimated time of departure,procijenjeno vrijeme odlaska
ets,procijenjeno vrijeme odlaska
etb,procijenjeno vrijeme vezivanja
assessments,procjena
assessment of prices,procjena cijena
exposure assessment,procjena izloženosti
channel estimation,"procjena kanala, utvrđivanje svojstava kanala"
capital apprecation,procjena kapitala
uncertainty evaluation,procjena mjerne nesigurnosti
talent assessment,procjena nadarenosti
parameter estimation,"procjena parametara, procjena parametra"
error estimate,procjena pogreške
evaluation of resources,procjena prirodnih izvora
project evaluation,procjena projekta
risk assessment,procjena rizika
spectrum estimation,procjena spektra
management audit,procjena uspješnosti menadžmenta
environmental impact assessment,procjena utjecaja na okoliš
environmental pollution assessment,procjena utjecaja na okoliš
evaluation of skills,procjena vještina
health risk assessment,procjena zdravstvenog rizika
hazard estimation,procjena štetnosti
appraiser,procjenitelj
estimator,procjenitelj
maximum likelihood estimate,procjenjena maksimalna vjerojatnost
ponderable,procjenjuje se
estimating,"procjenu, proračun"
air gap,"procjep, vazdušni zazor"
florescence,procvat
selling,prodaja
distance selling,prodaja na daljinu
credit sale,prodaja na kredit
retail selling,prodaja na malo
wholesale selling,prodaja na veliko
selling at a loss,prodaja s gubitkom
discount sale,prodaja s popustom
sale of services,prodaja usluga
cash sale,prodaja za gotovinu
for sale,prodaje se
selling price,prodajna cijena
realisable value,prodajna vrijednost
tied sales outlet,prodajni odjel
retail outlet,prodajno mjesto
sales,"prodajom, prodaju, trgovina"
bartered,"prodan, prodana"
sold,"prodanih, prodat, prodati"
to sell,prodati
undersell,"prodati jeftino, prodavati ispod cijene"
sells,prodavanih
shops,"prodavaonica, prodavaonice, trgovinama"
salesman,"prodavatelj, prodavač"
seller,"prodavatelj, prodavač"
tobacconist,prodavač duhana
news vendor,prodavač novina
newsagent,prodavač novina
reseller,"prodavač, prodavača"
monger,"prodavač, trgovac"
shopman,"prodavač, trgovac, trgovački pomoćnik"
salesgirl,prodavačica
saleswoman,prodavačica
prodigy service,prodigy servis (elektronički informacijski servis
homily,"prodika, propovijed"
pervades,"prodire, prožima"
salt water intrusion,prodor mora
penetrating,"prodoran, pronicljiv"
stentorian,"prodoran, zvučan"
producer coresponsibility,producer co-responsibility ; suodgovornost proizvođača
producers liability,producer's liability ; odgovornost proizvođača
products covered by this agreement,products covered by this Agreement ; proizvodi obuhvaćeni ovim Sporazumom
products of heading no 2710,products of heading No 2710 ; proizvodi iz tarifnoga broja 2710
products referred to in article 28,"products referred to in Article 28 ; proizvodi na koje se odnosi članak 28., proizvodi navedeni u članku 28."
production theory,produkcijska teorija
fertility characteristics,produktivna svojstva
productivity of machining processes,produktivnost obrade
product cipher,"produktna šifra, umnožna šifra"
product code,produktni kod
extended memory,"produljena memorija, proširena memorija"
uptime,"produženje rada, vrijeme ispitivanja stanja, vrijeme korisnika"
extension cord,produžni kabel
profesionalization,profesionalizacija
professionalization,profesionalizacija
professionalism,"profesionalizma, stručnost"
occupational disease,profesionalna bolest
professional activity,profesionalna djelatnost
professional ethics,profesionalna etika
occupational exposure,profesionalna izloženost
professional career,profesionalna karijera
occupational pension scheme,profesionalna mirovinska shema
occupational diseases,profesionalna oboljenja
occupational retraining,profesionalna prekvalifikacija
professional secret,profesionalna tajna
professional army,profesionalna vojska
professionally,profesionalne
occupational,profesionalni
prize fighter,profesionalni boksač
ethical codex,profesionalni kodeks
professional sport,profesionalni sport
vocational guidance,profesionalno savjetovanje
professional partnership,profesionalno udruženje
professional orientation,profesionalno usmjerenje
professors,"profesori, učitelji"
professorial,profesorski
professorship,profesura
aminoacid profile,profil aminokiselina
refractive index profile,"profil indeksa loma, profil indeksa loma"
policy profile,profil police
profit profile,profil profita
prophylactic,profilaktičan
sophisticated,"profinjen, pun iskustva, vješt"
profittesting,profit-testing ; testiranje profita
profitability,"profitabilnost, rentabilnost, rentabilnosti"
profiteer,"profiter, šiber, špekulant"
progeny test,progeni test
progesteron receptors,progestronski receptori
sagging,progib
deflections,progibi
acclaimt,proglasiti
proclaims,proglašava
proclaimed,"proglašavali, proglašena, proglašeno"
proclaiming,proglašavanje
declared,"proglašen, proglašeni"
promulgation of a law,proglašenje zakona
displaced person,"prognanik, raseljena osoba"
displaced persons,prognanika
proscribe,"prognati, van zakona, zabraniti"
prognostic factors,"prognostički faktor, prognostički čimbenici ; Prognostic factors ; Prognostički faktori"
prognostic factor,prognostički faktori
prognostical factors,prognostički čimbenici
prognostication,prognoza
sales forecast,prognoza prodaje
the weather forecast,prognoza vremena ; the weather forecast. ; prognoza vremena
prognosticate,prognozirati
prognostic map,prognozne karte
public prosecution,progon po službenoj dužnosti
hunted,progonila
persecutor,progonitelj
banishment,"progonstvo, protjerivanje"
tracing routine,program analize
quick response program,program brzog odziva
firmware,"program izveden u sklopovskoj opremi, ugrađeni program, ugrađeni softver"
machine language program,program na strojnom jeziku
competition schedule,"program natjecanja, satnica natjecanja"
mobility programme,program pokretljivosti
aid programme,program pomoći
aid scheme,"program pomoći, program potpore"
compiling program,"program prevodilac, program za prevođenje (u strojni jezik)"
bootstrap loader,"program punilac, program za samopunjenje"
lifting program,program rada s utezima
youth exchange scheme,program razmjene mladeži
restructuring programme,program restrukturiranja
restructuring and conversion programme,program restrukturiranja i prilagodbe
technical assistance programme,program tehničke pomoći
program belt,program traka
gated,program usmjernika (UNIX)
mutual assistance scheme,program uzajamne pomoći
mutual assistance among farmers,program uzajamne pomoći zemljoradnika
load program,program učitavanja
program prompts you,program vas zatraži
programme of physical exercising,program vježbanja
door program,program vrata (BBS)
autotest program,program za automatsko ispitivanje
design drawing program,"program za crtanje nacrta, program za izradu nacrta"
remote copy program,program za daljinsko preslikavanje
handshake program,"program za dogovaranje (modema i računala), program za usklađivanje"
bulk copy program,program za masovno kopiranje
terminal emulator,program za oponašanje terminala
antivirus program,"program za otkrivanje i uništavanje virusa, protuvirusni program"
link editor,"program za povezivanje, u red iva c povezivanja"
linkage editor,"program za povezivanje, u red iva c povezivanja"
customer interaction software,program za praćenje poslovanja s korisnicima
netfind,program za pretraživanje i pronalaženje imena i ad
looksmart,program za pretraživanje na Internetu
lycos,program za pretraživanje na Internetu
search engine,"program za pretraživanje, stroj za pretraživanje, stroj za traženje, tražilica"
debugger,"program za pronalaženje pogrešaka, razbubnik"
machine check handler,program za provjeru rada računala
magnetic handler,program za rad s magnetnom vrpcom
berkeley internet name domain,program za razrješavanje imena područja
data acquisition routine,program za skupljanje podataka
mush,program za čitanje i pisanje poruka elektroničke p
newsreader,program za čitanje novosti (Internet)
programs diversification,program's diversification ; programska raznolikost
programme,"program, programa, programu"
programmes,"programa, programe, programi, programima"
programs,"programe, programi, programima ; program's ; programa"
computer programmer,programer
programmer,programer
application programmer,"programer aplikacija, programer primjena"
programmer interface,"programersko sučelje, sučelje programera"
database applications,programi baze podataka
training and advisory operations,programi izobrazbe i savjetovanja
mobility programmes for scientists,programi pokretljivosti za znanstvenike
programmed cell death,programirana stanična smrt
sense switch,"programirani prekidač, senzorski preklopnik"
programming,"programiranje, programski"
programmed learning,programirano učenje
programmable active memory,programirljiva aktivna memorija
programmable logic,programirljiva logika
programmable read only memory,programirljiva stalna memorija
programmable jack,programirljiva utičnica
program file,programska datoteka
radiosoftware,"programska oprema koja omogućuje uporabu računala, radioprogramska oprema"
protocol software,"programska oprema protokola, softver protokola"
computer software,"programska oprema računala, softver računala"
data network modeling software,programska oprema za modeliranje podatkovnih mreža
groupware,programska oprema za skupni rad
wiring board,programska ploča
coating design software,programska podrška za tehniku tankog filma
taskbar,programska traka
bulletin board system,"programske opreme i drugo, računalni sustav za razmjenu poruka (informacija, sustav oglasne ploče"
web authoring tool,programski alat za stvaranje web stranica
software tools,programski alati
programming language,programski jezik
algol,"programski jezik ; ALGOL ; Algol, algoritamski jezik"
cobol,"programski jezik ; COBOL ; COBOL, programski jezik COBOL"
fortran,programski jezik ; FORTRAN ; programski jezik FORTRAN
c,programski jezik ; c. ; st.
host language,"programski jezik glavnog računala, programski jezik računala"
page description language,programski jezik za opisivanje stranica (npr. post
music programming language,programski jezik za računalno skladanje
hypercard,programski paket za razvitak hipertekstualnih/hipe
software generated group blocking message,programski upravljana poruka o blokiranju skupine
software generated group unblocking message,programski upravljana poruka o deblokiranju skupin
software engineering,"programsko inženjerstvo, projektiranje i proizvodnja programske opreme, softversko inženjerstvo"
progressive sustainability,progresivna potrajnost
graduated income tax,progresivni porez
progressive elimination of mfn duties,progressive elimination of MFN duties ; postupno ukidanje carina koje su utvrđene po načel
gulp,"progutati, veliki gutljaj"
chilly,prohladan
begin to walk,prohodati
pass by quickly,prohujati
rush by,prohujati
begin to play,proigrati
proinflammatory factors,proinflamatorni citokini
supervene,"proizići iz, sljedovati za"
ensuing,"proizlaze, proizlaziti"
arises,proizlazi
producer group,proizvađačka skupina
made from,proizveden iz
product obtained,proizvod dobiven
wholly obtained product,proizvod dobiven u cijelosti
entry under this subheading,proizvod iz ovog potpoglavlja
seconds,"proizvod loše kvalitete, sekunde, sekundi"
product of sea fishing,proizvod morskoga ribolova
product subject to a concessions,proizvod na koji se primjenjuje koncesija
egg product,proizvod od jaja
steel product,proizvod od čelika
sugar product,proizvod od šećera
cereal product,proizvod od žita
product of a preferential origin,proizvod preferencijalnoga podrijetla
originating product,proizvod s podrijetlom
complete article,proizvod u cijelosti
animal product,proizvod životinjskoga podrijetla
commodity,"proizvod, roba, udobnost"
produces,proizvodi
productions,proizvodi
products traded,proizvodi kojima se trguje
products from cereals,proizvodi od žitarica
bluetooth enabled products,proizvodi temeljeni na bluetooth tehnologiji
products wholly obtained,proizvodi u cijelosti dobiveni
products in a set,proizvodi u setu
items entered on the certificate,proizvodi upisani u potvrdu
produced by,"proizvodi, proizvođač"
producer,"proizvodi, proizvođač, redatelj, režiser"
fabricate,proizvoditi
production quota,proizvodna kvota
production policy,proizvodna politika
production structure,proizvodna struktura
production value,proizvodna vrijednost
production and export capacities,proizvodne i izvozne mogućnosti
production technologies,proizvodne tehnologije
production capacity,proizvodni kapacitet
concentrated product,proizvodni koncentrat
production management,"proizvodni menadžment, upravljanje proizvodnjom, vođenje proizvodnje"
manufacturing operation,proizvodni postupak
manufacturing operations,proizvodni postupak
manufacturing process,proizvodni postupak
productional resources,proizvodni resursi
production results,proizvodni rezultati
production types,proizvodni tipovi
produce condition,proizvodni uvjeti
production surplus,proizvodni višak
factor of production,proizvodni čimbenik
manufacturing,"proizvodni, proizvodnih, proizvodnim, proizvodnja"
production biomass,proizvodnja biomase
wood production,proizvodnja drva
electricity generation,proizvodnja električne energije
energy production,proizvodnja energije
speech production,proizvodnja govora
food production,"proizvodnja hrane, proizvodnje hrane"
production and use of energy,proizvodnja i uporaba energije
computer integrated manufacturing,"proizvodnja integrirana računalom, računalom upravljana proizvodnja"
component production,proizvodnja komponenata
meat production,"proizvodnja mesa, tovnost"
assembly line production,proizvodnja na pokretnoj traci
petroleum production,proizvodnja nafte
wheat production,proizvodnja pšenice
secret key generation,proizvodnja tajnog kljuca
calorification,proizvodnja topline
winemaking,"proizvodnja vina, proizvodnjom vina"
hydrogen production,proizvodnja vodika
industry production,proizvodno gospodarstvo
land productivity,proizvodnost zemljišta
arbitrary discrimination,proizvoljna diskriminacija
arbitrary access,proizvoljni pristup
arbitrarily,"proizvoljno, samovoljno"
hardware manufacturer,"proizvođač hardvera, proizvođač strojne opreme"
businesses,"proizvođača, proizvođači"
producers,proizvođači
producer price,proizvođačka cijena
procreation,"proizvođenje, rađanje, stvaranje"
project of community interest,project of Community interest ; projekt od interesa za Zajednicu
picture projection,"projekcija slika u boji s tri topa, projicirana slika"
project of common interest,projekt od zajedničkoga interesa
interoperability now,projekt uvođenja međudjelovanja VoIP opreme
schemer,projektant
network planner,projektant mreže
projector,"projektant, čarobna lampa"
design methods,"projektantske metode, projektiranja"
designs,projekte
tourist projects,projekti u turizmu
projectile,"projektil, projektila"
missile,"projektil, za bacanje, zrno"
dimensioning,projektiranje
projecting,projektiranje
traffic engineering,"projektiranje komunikacijskih mreža, prometno inženjerstvo"
wellpath planning,projektiranje trajektorije bušotine
projective geometry,projektivna geometrija
projective module,projektivni modul
project management,"projektni menadžment, projektni menedžment ; Project management ; Upravljanje projektima"
design model,projektni model
design procedure,projektni postupak
design spectrum,projektni spektar
project finance,projektno financiranje
searchlight,"projektor, reflektor"
spotlight,"projektor, reflektor, središte pažnje"
damned,"proklet, prokleti, uklet"
cussed,"proklet, svojeglav"
malediction,prokletstvo
imprecation,"prokletstvo, proklinjanje"
perdition,"prokletstvo, propast"
imprecate,proklinjati
proximal pyroclastic rocks,proksimalni piroklastiti
abdominal obesity,proksimalni tip pretilosti
proximal tubule,proksimalni tubuli
prolactine,prolaktin
passing,"prolazak, prolazan, prolazni, prođete"
message passing,prolazeća porukamessage passing
to undergo restructuring,prolaziti kroz restrukturiranje
choke point,"prolazna točka, spojna točka između mreže i mreže Internet"
passer by,prolaznik
passageway,prolazom
peregrination,"prolaženje, proputovanje"
proletariat,proletarijat
proletariate,proletarijat
proletarian,proleter
proliferation,"proliferacija, rastućeg posjedovanja"
proliferation index,proliferacijski indeksi
proliferative,proliferativnom
prodrugs,prolijekovi
spillage,prolivanje
spring day,proljetni dan
diarrhea,proljev
spring time,proljeće
springtime,proljeće
population under consideration,promatrana populacija
viewing,"promatranje, vizualni"
watches,"promatrao, satova, satovi"
contemplate,"promatrati, razmatrati, razmišljati"
by stander,promatrač
spotter,"promatrač, radar za otkri"
ill starred,"promašen, zlosretan"
dry and liquid bulk trade,promet krutoga i tekućega rasutoga tereta
waterways traffic,promet na plovnim putovima
data traffic,promet podataka
variable bit rate traffic,promet promjenljive brzine bitova
bulk trade,promet rasutoga tereta
constant bit rate traffic,promet stalne brzine prijenosa
promethium,prometij
registration card,prometna dozvola
traffic matrix,prometna matrica
transport accident,prometna nezgoda
traffic policy,prometna politika
transportation policy,prometna politika
transport policy,"prometna politika, transportna politika"
traffic lights,"prometna svijetla, semafor"
traffic lane,prometna traka
transportation services,prometna usluga
traffic cover,prometna zaštita
traffic route,prometni pravac
traffic regulations,prometni propisi
transportation system,prometni sustav
traffic flow,"prometni tijek, protok prometa"
traffic sings,prometni znak
transport operator,prometni činitelji
traffic roads,prometnice
traffic and transport terminology,prometno nazivlje
host buss traffic workload,prometno opterećenje glavne sabirnice
transport law,prometno pravo
traffic overload,prometno preopterećenje
to circulate without hindrance,prometovati bez ograničenja
to ply for trade,prometovati radi obavljanja trgovine
promoting,"promicanja, promicanjem, promicanju"
fleeting,promicanje
promoting democracy,promicanje demokracije
export promotion,promicanje izvoza
promotion of energy saving,promicanje štednje energije
to promote bilateral cooperation,promicati dvostranu suradnju
to promote an integration policy,promicati politiku integracije
to promote cooperation,promicati suradnju
changing printers settings,promijeniti postavke štampača
varied,"promijenjen, raznolik, raznorodan, raznovrstan"
pupils,"promijenjenih, učenika, učenike"
reshuffle,"promiješati karte, reorganizirati vladu"
promille,promila
rethink,"promisliti, razmisliti"
deliberately,promišljeno
advisedly,"promišljeno, svjesno"
change address,promjena adrese
readdressing,"promjena adrese, readresiranje IP paketa"
change of pace,promjena brzine kretanja
shade changes,promjena obojenja
change of political system,promjena političkoga sustava
residential mobility,promjena prebivališta
bias distortion,"promjena prednapona, varijabla prednapona"
premium amendment,promjena premije
