English,Other
austrohungarians,"Austro-Hungarians ; austrougarske, austrougarski"
auto answer,Auto Answer ; Automatsko odgovaranje
auto dial,Auto Dial ; Automatsko biranje
auto hide,Auto Hide ; SamoSkrivanje
autocad,AutoCAD ; AutoCAD
autocontent wizard,AutoContent Wizard ; Čarobnjak za GotovSadržaj
autocorrect feature,AutoCorrect feature ; osobina SamoIspravak
autofill feature,AutoFill feature ; osobina SamoIspuna
autofilter feature,AutoFilter feature ; osobina GotovFilter
autoform feature,AutoForm feature ; osobina GotovObrazac
autoformat feature,AutoFormat feature ; osobina SamoOblikovanje
autopick,AutoPick ; SamoIzbor
autoscroll,AutoScroll ; SamoKlizanje
autoshape feature,AutoShape feature ; osobina GotovOblik
autospace,AutoSpace ; GotovRazmak
autosum feature,AutoSum feature ; osobina SamoZbroj
autosummarize feature,AutoSummarize feature ; osobina SamoSažetak
autotext feature,AutoText feature ; osobina GotovTekst
autobiography,Autobiography ; autobiografija
automatic speed sensing,Automatic Speed Sensing ; Automatsko prepoznavanje brzine
automation of measurement,Automation of measurement ; Automatizacija mjerenja
autonomists,Autonomists ; Autonomaši
autonomous province of bolzano,Autonomous Province of Bolzano ; Autonomna pokrajina Bolzano
autonomous province of trento,Autonomous Province of Trento ; Autonomna pokrajina Trento
autoreference,Autoreference ; autoreferencijalnost
avantgarde,Avant-garde ; avangarda
avar,"Avar ; Avar, Avara, Avarskih, avarski"
avars,Avars ; Avari
avatar,Avatar ; avatar
azerbaijan,Azerbaijan ; Azerbajdžan
azores,Azores ; Azorski otoci
b channel,"B channel ; 64 kb/s kanal (u ISDN-u), kanal B"
b lymphocytes,"B lymphocytes ; B limfociti, limfocit B"
b,B&W ; crno-bijelo
w,B&W ; crno-bijelo
bici signaling atm adaptation layer,B-ICI signaling ATM adaptation layer ; B-ICI signalizacijski prilagodni sloj
bisdn,"B-ISDN ; B-ISDN, širokopojasna mreža ISDN"
bisdn intercarrier interface,B-ISDN inter-carrier interface ; sučelje medu javnim mrežama ATM
bisdn protocol reference model,B-ISDN protocol reference model ; referentni model protokola širokopojasne mreže ISD
bnt2,B-NT2 ; širokopojasni mrežni završetak
bte1,B-TE1 ; širokopojasni terminal
blymphocytes,B-lymphocytes ; limfociti B
bbs program,BBS program ; program BBS
bbw,BBW ; krupne ljepotice
bcd code,"BCD code ; BCD kod, BCD znakovnik"
bch bose chaudhuri hocquenghem code,BCH (Bose Chaudhuri Hocquenghem) code ; Bose-Chaudhuri-Hocquenghemov kod
bch binary codes,BCH binary codes ; binarni kodovi BCH
bcn be seert you,BCN (Be SeerT You) ; vidimo se (koristi se kao pozdrav)
beuc,BEUC ; BEUC
bios,BIOS ; BIOS
bis,BIS ; BIS
bitnet because it is time network,BITNET (Because it is time network) ; akademska mreža s prospajanjem poruka (u SAD)
bleu,BLEU ; BLEU
bmp file format,BMP file format ; format datoteke BMP
bootp,"BOOTP ; protokol inicijalizacije mrežne stanice, upućivanje u rad"
bpe speech coder,BPE speech coder ; koder govora s binarnom uzbudom
bse,BSE ; GSE
bach regime,Bach regime ; Bachov apsolutizam
bacterial meningitis,Bacterial meningitis ; bakterijski meningitis
bacterial pathogenicity,Bacterial pathogenicity ; Bakterijska patogenost
badenian,Badenian ; baden
bahamas,Bahamas ; Bahami
bahrain,Bahrain ; Bahrein
baker yeast,Baker Yeast ; Pekarski kvasac
balearic islands,Balearic Islands ; Balearsko otočje
balkan peninsula,"Balkan Peninsula ; Balkanski poluotok, Balkanskom poluotoku"
baltic,"Baltic ; Baltik, Baltika, baltički, baltičkih"
baltic sea,Baltic Sea ; Baltičko more
baltic states,Baltic States ; Baltičke države
bangladesh,Bangladesh ; Bangladeš
baniya,Baniya ; Banija
bank for international settlements,Bank for International Settlements ; Banka za međunarodna poravnanja
banking sector,Banking sector ; Bankovni sektor
banus,Banus ; ban
baranya,"Baranya ; Baranja, Baranja kao interesna zajednica, Baranje"
barbados,Barbados ; Barbados
barysphere,Barisfera
basic geological map,Basic Geological Map ; Osnovna geološka karta
baskakov operators,Baskakov operators ; operatori Baskakova
basketball league,Basketball League ; košarkaška liga
basle,"Basle ; Basel, Baselu, Bazel"
basque country,Basque country ; Baskija
bavaria,Bavaria ; Bavarska
bay of nin,Bay of Nin ; Ninski zaljev
bay of rijeka,Bay of Rijeka ; Riječki zaljev
bayesian statistics,Bayesian statistics ; Bayesova statistika
basic rocks,Bazične stijene
bcc,Bcc ; Na znanje
be prepared,Be prepared! ; Budi spreman!
belarus,Belarus ; Bjelarus
belarusian,Belarusian ; bjeloruski
belgian,"Belgijanac, Belgijanka, belgijski"
belgium,Belgium ; Belgija
bell telephone laboratories,Bell telephone laboratories ; Bellovi laboratoriji
benedictine,Benedictine ; benediktinski
benelux,Benelux ; Beneluks
benelux countries,Benelux countries ; zemlje Beneluksa
benzodiazepines,Benzodiazepini
berlin,Berlin ; Berlin
bermuda,Bermuda ; Bermudski otoci
bernardins,Bernardins ; bernardinci
bernstein polynomials,Bernstein Polynomials ; Bernsteinovi polinomi
bernstein functors,Bernstein functors ; Bernsteinovi funktori
besov spaces,Besov spaces ; Besovljevi prostori
bessel,Bessel ; Bessel
bethlem myopathy,Bethlem myopathy ; Bethlemova mišićna distrofija
bhutan,Bhutan ; Butan
bidi,BiDi ; Dvosmjerno
bible,Bible ; Biblija
biedermeier,Biedermeier ; biedermajer
big pond,Big Pond ; Atlantik
bilingualism,"Bilingvizam, dvojezičnost"
bilogora,"Bilogora ; Bilogora, Bilogorom"
bioarchaeology,Bioarchaeology ; Bioarheologija
biocatalysts,Biocatalysts ; Biokatalizatori
bioelectrical impedance,Bioelectrical impedance ; Bioelektrička impedancija
bioerosion,Bioerozija
bioinformatics,Bioinformatics ; Bioinformatika
biokovo nature park,Biokovo Nature Park ; Park prirode Biokovo
biological trace elements,Biological trace elements ; elementi u tragu
biomechanics of bone healing,Biomechanics of bone healing ; Biomehanika cijeljenja prijeloma
biometry,Biometry ; Biometrija
biomicrite,Biomikrit
biopsychosocial factors,Biopsychosocial factors ; Biopsihosocijalni čimbenici
biosparite,Biosparit
bipolar disorder,Bipolar disorder ; Bipolarni poremećaj raspoloženja
bishopris,Bishopri's ; biskupije
biskupija,Biskupija ; Biskupija
bitumens,Bitumens ; bitumeni
black sea,Black Sea ; Crno more
black plague,"Black plague ; kuga, kuge"
blood serum,Blood serum ; Krvni serum
bolivia,Bolivia ; Bolivija
bombus terrestris,Bombus terrestris ; bumbar
bone morphogenetic protein,Bone morphogenetic protein ; koštani morfogenetski protein
book heritage,Book heritage ; Knjižna baština
boolean expression,"Boolean expression ; Booleov izraz, izraz u Booleovoj algebri, logički izraz"
boolean function,"Boolean function ; B o o l e ova funkcija, funkcija u Booleovoj algebri, logička funkcija"
boolean logic,Boolean logic ; Booleova logika
boolean search,"Boolean search ; Booleovo pretraživanje, logičko pretraživanje, pretraživanje uz uporabu logičkih operatora"
boolean algebra,Booleova algebra ; Boolean algebra ; Bulova algebra
bosnia,"Bosnia ; Bosna, Bosne"
bosnia and hercegovina,Bosnia and Hercegovina ; Bosna i Hercegovina
bosnia and herzegovina,"Bosnia and Herzegovina ; BiH, Bosna i Hercegovina"
